customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000001,Female,1,No,No,49,No,No,No,Yes,No internet service,Yes,No,Yes,Yes,Two year,No,Mailed check,95.8,4692.61,No
0000002,Male,1,No,No,39,No,No phone service,No,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,29.88,1156.79,No
0000003,Female,0,No,Yes,51,No,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,91.03,4648.23,No
0000004,Female,1,No,Yes,40,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No,Yes,Two year,No,Bank transfer (automatic),107.51,4310.36,Yes
0000005,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,49.03,1464.69,Yes
0000006,Female,1,No,No,27,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,109.5,2958.3,No
0000007,Female,0,Yes,Yes,34,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.71,1072.55,No
0000008,Female,1,Yes,Yes,24,Yes,Yes,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),80.63,1936.64,Yes
0000009,Female,0,No,Yes,12,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),103.59,1234.48,No
0000010,Male,0,No,No,72,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,No,Two year,No,Bank transfer (automatic),36.94,2663.13,Yes
0000011,Male,0,No,Yes,49,No,Yes,DSL,No,No,No internet service,No,No internet service,No,Two year,Yes,Bank transfer (automatic),103.77,5079.75,No
0000012,Male,0,No,Yes,49,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),94.85,4654.23,Yes
0000013,Female,0,Yes,Yes,5,No,No,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.57,174.13,No
0000014,Male,0,Yes,Yes,51,Yes,Yes,No,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),114.95,5860.8,No
0000015,Male,0,No,Yes,10,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,No internet service,One year,No,Electronic check,22.18,230.08,No
0000016,Male,1,Yes,No,63,No,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,91.24,5756.17,No
0000017,Female,1,Yes,No,5,Yes,No,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.96,227.79,No
0000018,Female,1,No,Yes,42,No,Yes,No,No,No,Yes,No,No,No internet service,Two year,Yes,Mailed check,49.92,2088.81,No
0000019,Male,0,Yes,Yes,72,Yes,No,DSL,Yes,No,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),57.56,4153.81,Yes
0000020,Female,1,Yes,No,10,Yes,Yes,No,Yes,No internet service,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),56.83,578.07,Yes
0000021,Male,0,Yes,Yes,26,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),84.1,2196.54,No
0000022,Female,1,Yes,Yes,66,Yes,No,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),69.54,4597.98,No
0000023,Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,One year,No,Credit card (automatic),91.81,3403.11,Yes
0000024,Male,0,No,No,67,No,No,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),70.24,4707.56,No
0000025,Female,1,No,Yes,42,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,Yes,One year,No,Mailed check,26.56,1122.72,No
0000026,Female,0,No,Yes,62,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.0,6760.04,Yes
0000027,Female,0,Yes,Yes,13,No,No phone service,No,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),90.01,1173.11,No
0000028,Male,0,Yes,No,37,No,No,DSL,No,No,No internet service,Yes,Yes,Yes,One year,No,Electronic check,111.69,4139.98,No
0000029,Male,0,No,No,66,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,86.65,5720.34,No
0000030,Female,1,No,No,3,Yes,No,DSL,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,99.13,296.01,Yes
0000031,Male,0,Yes,Yes,46,No,No,No,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),27.05,1252.17,Yes
0000032,Female,1,No,No,33,No,Yes,No,Yes,Yes,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,33.02,1098.99,No
0000033,Female,0,No,Yes,28,Yes,No phone service,DSL,No,Yes,No internet service,Yes,Yes,No,One year,No,Mailed check,51.59,1439.38,No
0000034,Female,0,Yes,No,54,No,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Mailed check,49.8,2686.29,No
0000035,Female,0,Yes,No,13,No,Yes,DSL,No,No,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),47.7,621.26,No
0000036,Female,1,Yes,Yes,26,No,Yes,No,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Credit card (automatic),49.47,1292.82,No
0000037,Female,0,Yes,Yes,29,No,No,No,No internet service,No internet service,No,No,Yes,No internet service,One year,No,Bank transfer (automatic),74.37,2154.84,Yes
0000038,Female,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,79.54,1979.21,No
0000039,Female,1,No,Yes,52,Yes,Yes,No,Yes,No,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),115.57,6010.51,No
0000040,Female,1,No,Yes,60,No,No,DSL,No internet service,No,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),94.23,5648.16,No
0000041,Male,0,No,Yes,1,Yes,No phone service,DSL,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,104.62,114.2,No
0000042,Female,1,No,No,13,Yes,No,No,Yes,No internet service,No,Yes,Yes,Yes,One year,No,Credit card (automatic),63.4,828.53,Yes
0000043,Female,0,Yes,Yes,54,No,Yes,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,100.68,5434.51,No
0000044,Female,1,No,Yes,38,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,One year,Yes,Electronic check,81.25,3091.6,No
0000045,Male,0,No,Yes,6,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),36.29,207.82,Yes
0000046,Male,0,Yes,No,68,Yes,Yes,No,No,Yes,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),65.57,4455.26,No
0000047,Male,1,No,Yes,66,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No,One year,Yes,Electronic check,106.0,6991.09,No
0000048,Male,0,No,Yes,10,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),44.11,447.63,No
0000049,Female,0,No,No,55,No,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,30.73,1698.14,No
0000050,Female,0,Yes,Yes,36,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,No,Mailed check,107.98,3897.22,No
0000051,Female,1,No,No,30,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.48,790.55,No
0000052,Male,0,No,Yes,19,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Two year,No,Electronic check,117.58,2234.23,Yes
0000053,Male,1,Yes,Yes,3,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Two year,No,Mailed check,72.64,215.09,No
0000054,Male,0,No,Yes,40,No,No,No,No internet service,No internet service,No internet service,Yes,No,No,Two year,Yes,Bank transfer (automatic),98.54,3939.28,No
0000055,Male,0,No,Yes,2,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Mailed check,55.64,112.07,No
0000056,Female,1,No,No,27,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),64.9,1745.14,Yes
0000057,Female,0,Yes,Yes,49,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),37.13,1819.38,Yes
0000058,Male,1,Yes,No,19,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),81.49,1539.11,No
0000059,Female,0,No,Yes,34,No,No phone service,DSL,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,100.33,3420.11,No
0000060,Female,1,No,No,34,Yes,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,94.0,3186.69,No
0000061,Male,0,Yes,No,19,No,No,No,No,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,53.07,1013.28,No
0000062,Female,0,Yes,Yes,72,No,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),24.36,1746.44,No
